"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Saquon Barkley (PHI)","345","2,005","5.8","72","17","13","33","43","278","8.4","2","1","16","322.3","20.1","99.9%"
"2","Derrick Henry (BAL)","325","1,921","5.9","87","19","16","19","22","193","10.2","2","1","17","317.4","18.7","99.9%"
"3","Jahmyr Gibbs (DET)","250","1,412","5.6","70","13","16","52","63","517","9.9","4","1","17","310.9","18.3","99.9%"
"4","Bijan Robinson (ATL)","304","1,456","4.8","37","5","14","61","72","431","7.1","1","0","17","280.7","16.5","99.9%"
"5","Josh Jacobs (GB)","301","1,329","4.4","38","7","15","36","43","342","9.5","1","3","17","257.1","15.1","99.8%"
"6","Kyren Williams (LAR)","316","1,299","4.1","30","2","14","34","40","182","5.4","2","3","16","238.1","14.9","99.2%"
"7","James Cook (BUF)","207","1,009","4.9","65","6","16","32","38","258","8.1","2","0","16","234.7","14.7","99.3%"
"8","Jonathan Taylor (IND)","303","1,431","4.7","70","11","11","18","31","136","7.6","1","1","14","226.7","16.2","99.8%"
"9","De'Von Achane (MIA)","203","907","4.5","61","5","6","78","87","592","7.6","6","0","17","221.9","13.1","99.7%"
"10","James Conner (ARI)","236","1,094","4.6","53","6","8","47","55","414","8.8","1","1","16","206.8","12.9","96.3%"
"11","Joe Mixon (HOU)","245","1,016","4.1","59","8","11","36","52","309","8.6","1","0","14","204.5","14.6","90.0%"
"12","Chase Brown (CIN)","229","990","4.3","40","8","7","54","65","360","6.7","4","1","16","201.0","12.6","98.9%"
"13","Chuba Hubbard (CAR)","250","1,195","4.8","38","8","10","43","54","171","4.0","1","3","15","198.6","13.2","97.2%"
"14","Bucky Irving (TB)","207","1,122","5.4","56","8","8","47","52","392","8.3","0","1","17","197.4","11.6","99.6%"
"15","Alvin Kamara (NO)","228","950","4.2","24","3","6","68","89","543","8.0","2","0","14","197.3","14.1","98.3%"
"16","Aaron Jones Sr. (MIN)","255","1,138","4.5","41","3","5","51","62","408","8.0","2","3","17","190.6","11.2","90.9%"
"17","David Montgomery (DET)","185","775","4.2","21","1","12","36","38","341","9.5","0","1","14","185.7","13.3","93.8%"
"18","Breece Hall (NYJ)","209","876","4.2","42","3","5","57","76","483","8.5","3","2","16","183.9","11.5","96.0%"
"19","D'Andre Swift (CHI)","253","959","3.8","56","5","6","42","52","386","9.2","0","0","17","172.5","10.1","93.8%"
"20","Najee Harris (LAC)","263","1,043","4.0","36","9","6","36","48","283","7.9","0","0","17","168.6","9.9","40.2%"
"21","J.K. Dobbins (DEN)","195","905","4.6","61","6","9","32","38","153","4.8","0","0","13","159.8","12.3","80.2%"
"22","Tony Pollard (TEN)","260","1,079","4.2","41","6","5","41","57","238","5.8","0","2","16","159.7","10.0","89.0%"
"23","Rico Dowdle (CAR)","235","1,079","4.6","27","2","2","39","49","249","6.4","3","2","16","158.8","9.9","6.3%"
"24","Rachaad White (TB)","144","613","4.3","56","2","3","51","57","393","7.7","6","3","16","148.6","9.3","60.2%"
"25","Zach Charbonnet (SEA)","135","569","4.2","51","3","8","42","52","340","8.1","1","0","17","144.9","8.5","63.1%"
"26","Tyrone Tracy Jr. (NYG)","192","839","4.4","45","6","5","38","53","284","7.5","1","2","17","144.3","8.5","86.6%"
"27","Rhamondre Stevenson (NE)","207","801","3.9","33","2","7","33","41","168","5.1","1","3","15","142.9","9.5","78.6%"
"28","Brian Robinson Jr. (SF)","187","799","4.3","40","4","8","20","25","159","8.0","0","2","14","139.8","10.0","68.7%"
"29","Kenneth Walker III (SEA)","153","573","3.7","28","5","7","46","53","299","6.5","1","0","11","135.2","12.3","97.9%"
"30","Kareem Hunt (KC)","200","728","3.6","20","1","7","23","32","176","7.7","0","0","13","132.4","10.2","12.2%"
"31","Tank Bigsby (JAC)","168","766","4.6","65","4","7","7","12","54","7.7","0","1","16","122.0","7.6","69.6%"
"32","Javonte Williams (DAL)","139","513","3.7","20","1","4","52","70","346","6.7","0","2","17","105.9","6.2","79.5%"
"33","Jordan Mason (MIN)","153","789","5.2","38","9","3","11","14","91","8.3","0","1","12","104.0","8.7","67.4%"
"34","Alexander Mattison (MIA)","132","420","3.2","24","1","4","36","48","294","8.2","1","1","14","101.4","7.2","0.2%"
"35","Ray Davis (BUF)","113","442","3.9","23","2","3","17","19","189","11.1","3","0","17","99.1","5.8","19.2%"
"36","Austin Ekeler (WAS)","77","367","4.8","50","4","4","35","41","366","10.5","0","0","12","97.3","8.1","78.5%"
"37","Jerome Ford (CLE)","104","565","5.4","66","5","3","37","43","225","6.1","0","0","14","97.0","6.9","50.5%"
"38","Tyler Allgeier (ATL)","137","644","4.7","25","4","3","13","13","88","6.8","0","0","17","93.2","5.5","35.6%"
"39","Travis Etienne Jr. (JAC)","150","558","3.7","22","2","2","39","52","254","6.5","0","1","15","91.2","6.1","77.6%"
"40","Jaylen Warren (PIT)","120","511","4.3","22","1","1","38","47","310","8.2","0","1","15","86.1","5.7","84.6%"
"41","Ameer Abdullah (FA)","66","311","4.7","40","1","2","40","47","261","6.5","3","1","15","85.2","5.7","0.0%"
"42","Justice Hill (BAL)","47","228","4.9","51","2","1","42","51","383","9.1","3","0","15","85.1","5.7","13.1%"
"43","Emanuel Wilson (GB)","103","502","4.9","21","1","4","11","14","48","4.4","1","0","17","85.0","5.0","0.3%"
"44","Tyjae Spears (TEN)","84","312","3.7","23","1","4","30","35","224","7.5","1","0","12","83.6","7.0","62.3%"
"45","Antonio Gibson (NE)","120","538","4.5","45","4","1","23","29","206","9.0","0","0","17","80.4","4.7","0.6%"
"46","Isaac Guerendo (SF)","84","420","5.0","76","2","4","15","16","152","10.1","0","1","16","79.2","5.0","17.1%"
"47","Cam Akers (FA)","104","444","4.3","58","2","2","14","18","68","4.9","3","1","16","79.2","5.0","0.1%"
"48","Devin Singletary (NYG)","113","437","3.9","43","2","4","21","24","119","5.7","0","2","16","75.6","4.7","0.8%"
"49","Ty Johnson (BUF)","41","213","5.2","19","0","1","18","25","284","15.8","3","0","17","73.7","4.3","0.9%"
"50","Jaleel McLaughlin (DEN)","113","496","4.4","21","1","1","24","27","76","3.2","2","1","16","73.2","4.6","0.8%"
"51","Braelon Allen (NYJ)","92","334","3.6","20","1","2","19","27","148","7.8","1","0","17","66.2","3.9","31.2%"
"52","Roschon Johnson (CHI)","55","150","2.7","9","0","6","16","20","104","6.5","0","0","13","61.4","4.7","7.4%"
"53","Gus Edwards (FA)","101","365","3.6","43","1","4","3","5","6","2.0","0","0","11","61.1","5.6","0.1%"
"54","Sean Tucker (TB)","50","308","6.2","36","2","2","9","12","109","12.1","1","0","17","59.7","3.5","0.9%"
"55","Zack Moss (FA)","74","242","3.3","16","0","2","23","27","187","8.1","1","1","9","58.9","6.5","0.4%"
"56","Nick Chubb (HOU)","102","332","3.3","19","0","3","5","11","31","6.2","1","1","8","58.3","7.3","56.0%"
"57","Jeremy McNichols (WAS)","55","261","4.7","28","2","4","9","12","27","3.0","0","0","17","54.8","3.2","0.1%"
"58","Samaje Perine (CIN)","20","92","4.6","13","0","1","28","35","322","11.5","1","0","17","53.4","3.1","1.3%"
"59","Miles Sanders (DAL)","55","205","3.7","26","1","2","24","30","148","6.2","1","0","11","53.3","4.8","2.2%"
"60","Raheem Mostert (LV)","85","278","3.3","21","1","2","19","23","161","8.5","0","2","13","51.9","4.0","2.7%"
"61","Kenneth Gainwell (PIT)","75","290","3.9","20","1","1","16","22","116","7.3","0","0","17","46.6","2.7","1.0%"
"62","Ezekiel Elliott (FA)","74","226","3.1","11","0","3","12","15","69","5.8","0","1","15","45.5","3.0","0.1%"
"63","Isiah Pacheco (KC)","83","310","3.7","34","1","1","12","16","79","6.6","0","0","7","44.9","6.4","91.4%"
"64","Audric Estime (FA)","76","310","4.1","21","1","2","5","5","27","5.4","0","1","13","43.7","3.4","0.2%"
"65","Dameon Pierce (HOU)","40","293","7.3","92","2","2","2","4","2","1.0","0","0","11","41.5","3.8","0.4%"
"66","Trey Benson (ARI)","63","291","4.6","20","1","1","6","6","59","9.8","0","0","13","41.0","3.2","45.7%"
"67","Emari Demercado (ARI)","24","223","9.3","53","2","1","16","20","104","6.5","0","0","13","38.7","3.0","0.3%"
"68","Kyle Juszczyk (SF)","5","26","5.2","14","0","1","19","31","200","10.5","2","1","17","38.6","2.3","0.7%"
"69","Trey Sermon (PIT)","56","159","2.8","17","0","2","16","19","99","6.2","0","0","15","37.8","2.5","0.0%"
"70","Dare Ogunbowale (HOU)","30","112","3.7","35","1","0","19","28","198","10.4","1","0","17","37.0","2.2","0.3%"
"71","Isaiah Davis (NYJ)","30","174","5.8","20","1","1","9","12","75","8.3","1","0","14","36.9","2.6","0.4%"
"72","Tyler Goodson (IND)","32","153","4.8","33","1","1","11","15","61","5.5","1","0","16","33.4","2.1","0.1%"
"73","Christian McCaffrey (SF)","50","202","4.0","19","0","0","15","19","146","9.7","0","1","4","32.8","8.2","99.9%"
"74","Chris Brooks (GB)","36","183","5.1","23","1","1","11","13","69","6.3","0","0","13","31.2","2.4","0.3%"
"75","Chris Rodriguez Jr. (WAS)","35","173","4.9","25","1","2","1","1","12","12.0","0","0","8","30.5","3.8","1.8%"
"76","Hassan Haskins (LAC)","34","89","2.6","12","0","2","3","3","49","16.3","1","1","15","29.8","2.0","0.0%"
"77","Jamaal Williams (FA)","48","164","3.4","14","0","1","9","11","57","6.3","0","0","14","28.1","2.0","0.1%"
"78","Kimani Vidal (LAC)","43","155","3.6","19","0","0","5","9","62","12.4","1","0","10","27.7","2.8","0.1%"
"79","Patrick Taylor Jr. (SF)","39","183","4.7","29","1","1","3","11","25","8.3","0","0","9","26.8","3.0","0.1%"
"80","D'Onta Foreman (FA)","71","232","3.3","25","1","0","6","8","54","9.0","0","1","10","26.6","2.7","0.0%"
"81","Blake Corum (LAR)","58","207","3.6","12","0","0","7","8","58","8.3","0","0","15","26.5","1.8","6.8%"
"82","Cordarrelle Patterson (FA)","32","135","4.2","14","0","0","12","14","80","6.7","1","1","13","25.5","2.0","0.1%"
"83","Michael Carter (ARI)","35","131","3.7","13","0","1","11","11","57","5.2","0","0","4","24.8","6.2","0.0%"
"84","Kendre Miller (NO)","39","148","3.8","17","0","1","5","8","33","6.6","0","0","7","24.1","3.4","2.5%"
"85","D'Ernest Johnson (BAL)","32","143","4.5","22","1","0","12","19","96","8.0","0","0","12","23.9","2.0","0.0%"
"86","Jaylen Wright (MIA)","68","249","3.7","20","1","0","3","6","8","2.7","0","1","15","23.7","1.6","21.4%"
"87","Zamir White (LV)","65","183","2.8","17","0","1","6","8","30","5.0","0","2","8","23.3","2.9","0.4%"
"88","Ty Chandler (MIN)","56","182","3.3","25","1","0","6","6","42","7.0","0","0","15","22.4","1.5","0.2%"
"89","Khalil Herbert (IND)","36","130","3.6","14","0","1","10","11","25","2.5","0","0","12","21.5","1.8","0.2%"
"90","Pierre Strong Jr. (CLE)","26","108","4.2","19","0","0","14","22","104","7.4","0","0","13","21.2","1.6","0.2%"
"91","Sincere McCormick (LV)","39","183","4.7","29","1","0","6","7","29","4.8","0","0","4","21.2","5.3","0.4%"
"92","Kenny McIntosh (SEA)","31","172","5.5","25","1","0","3","4","22","7.3","0","0","12","19.4","1.6","0.0%"
"93","Michael Burton (DEN)","7","8","1.1","3","0","1","10","10","65","6.5","1","0","17","19.3","1.1","0.0%"
"94","JaMycal Hasty (NE)","20","69","3.5","15","0","0","10","12","59","5.9","1","0","12","18.8","1.6","0.0%"
"95","DeeJay Dallas (ARI)","9","49","5.4","22","1","0","3","3","11","3.7","1","0","16","18.0","1.1","0.0%"
"96","Craig Reynolds (DET)","31","139","4.5","19","0","0","3","5","40","13.3","0","0","14","17.9","1.3","0.1%"
"97","Carson Steele (KC)","56","183","3.3","9","0","0","7","11","26","3.7","0","2","16","16.9","1.1","0.1%"
"98","Alec Ingold (MIA)","10","17","1.7","6","0","1","11","12","96","8.7","0","1","15","15.3","1.0","0.2%"
"99","Hunter Luepke (DAL)","12","38","3.2","10","0","0","12","16","111","9.3","0","0","16","14.9","0.9","0.2%"
"100","Patrick Ricard (BAL)","0","0","0","0","0","0","3","5","22","7.3","1","0","17","14.2","0.8","0.1%"
"101","Jordan Mims (TEN)","20","70","3.5","9","0","0","12","18","71","5.9","0","0","8","14.1","1.8","0.0%"
"102","Ronnie Rivers (LAR)","22","99","4.5","12","0","0","5","6","34","6.8","0","0","7","13.3","1.9","0.0%"
"103","Will Shipley (PHI)","30","82","2.7","9","0","0","4","4","35","8.8","0","0","13","11.7","0.9","12.7%"
"104","Tony Jones Jr. (FA)","4","55","13.8","46","1","1","0","0","0","0","0","0","1","11.5","11.5","0.0%"
"105","Julius Chestnut (TEN)","22","102","4.6","12","0","0","2","3","11","5.5","0","0","14","11.3","0.8","0.1%"
"106","Deuce Vaughn (DAL)","17","70","4.1","12","0","0","3","5","18","6.0","0","0","6","8.8","1.5","0.1%"
"107","C.J. Ham (MIN)","2","10","5.0","8","0","1","5","6","35","7.0","0","1","17","8.5","0.5","0.1%"
"108","Raheem Blackshear (CAR)","15","80","5.3","26","1","0","0","0","0","0","0","0","16","8.0","0.5","0.1%"
"109","Jeff Wilson Jr. (SF)","16","57","3.6","14","0","0","3","3","19","6.3","0","0","7","7.6","1.1","0.0%"
"110","Eric Gray (NYG)","14","31","2.2","6","0","0","10","11","82","8.2","0","2","16","7.3","0.5","0.0%"
"111","Clyde Edwards-Helaire (NO)","13","46","3.5","12","0","0","3","5","24","8.0","0","0","2","7.0","3.5","0.7%"
"112","Tyler Badie (DEN)","11","86","7.8","43","1","0","3","3","-2","-0.7","0","1","3","6.4","2.1","0.0%"
"113","Kene Nwangwu (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","2","6.0","3.0","0.0%"
"114","Keaton Mitchell (BAL)","15","30","2.0","7","0","0","1","1","28","28.0","0","0","4","5.8","1.5","1.9%"
