"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"174","Treylon Burks (TEN)","4","8","34","8.5","13","0","0","2","1","0","0","5","7.5","1.5","0.6%"
"175","Dee Eskridge (MIA)","3","3","44","14.7","30","1","0","0","0","0","0","6","7.4","1.2","0.0%"
"176","Terrace Marshall Jr. (PHI)","3","6","41","13.7","28","1","0","0","0","0","0","5","7.1","1.4","1.0%"
"177","Tim Jones (MIN)","3","5","41","13.7","20","1","0","0","0","0","0","8","7.1","0.9","0.0%"
"178","Nikko Remigio (KC)","2","6","48","24.0","25","2","0","0","0","0","0","5","6.8","1.4","0.6%"
"179","Deven Thompkins (FA)","4","4","20","5.0","12","0","0","2","7","0","0","5","6.7","1.3","0.0%"
"180","Dan Chisena (FA)","3","4","37","12.3","23","1","0","0","0","0","0","6","6.7","1.1","0.0%"
"181","Cody White (SEA)","2","3","44","22.0","28","1","0","0","0","0","0","4","6.4","1.6","0.0%"
"182","Xavier Smith (LAR)","2","2","6","3.0","11","0","0","4","36","0","0","15","6.2","0.4","1.0%"
"183","Alex Bachman (LV)","3","3","31","10.3","18","0","0","0","0","0","0","5","6.1","1.2","0.0%"
"184","Allen Robinson II (FA)","3","7","30","10.0","21","1","0","0","0","0","0","6","6.0","1.0","1.4%"
"185","Ihmir Smith-Marsette (NYG)","0","0","0","0","0","0","0","0","0","0","0","15","6.0","0.4","1.0%"
"186","David Bell (CLE)","3","3","27","9.0","12","0","0","0","0","0","0","1","5.7","5.7","0.0%"
"187","Charlie Jones (CIN)","1","1","5","5.0","5","0","0","0","0","0","1","8","5.5","0.7","0.6%"
"188","Jamari Thrash (CLE)","3","7","22","7.3","11","0","0","0","0","0","0","9","5.2","0.6","0.7%"
"189","Malachi Corley (CLE)","3","6","16","5.3","10","0","0","2","26","0","1","7","5.2","0.7","0.6%"
"190","Trenton Irwin (FA)","3","10","15","5.0","6","0","0","0","0","0","0","6","4.5","0.8","0.0%"
"191","Ronnie Bell (DET)","2","6","22","11.0","12","0","0","0","0","0","0","4","4.2","1.1","0.0%"
"192","Austin Trammell (JAC)","2","3","40","20.0","22","1","0","0","0","0","1","1","4.0","4.0","0.0%"
"193","Mason Kinsey (TEN)","2","2","17","8.5","11","0","0","0","0","0","0","6","3.7","0.6","0.0%"
"194","Anthony Gould (IND)","1","1","23","23.0","23","1","0","0","0","0","0","8","3.3","0.4","1.0%"
"195","Isaiah Hodgins (FA)","2","2","12","6.0","7","0","0","0","0","0","0","2","3.2","1.6","0.0%"
"196","James Proche II (TEN)","3","3","21","7.0","14","0","0","0","0","0","1","9","3.1","0.3","0.0%"
"197","Grant DuBose (FA)","2","4","11","5.5","13","0","0","0","0","0","0","2","3.1","1.6","0.0%"
"198","Chris Blair (ATL)","1","2","17","17.0","17","0","0","0","0","0","0","3","2.7","0.9","0.0%"
"199","Isaiah Williams (CIN)","2","3","6","3.0","4","0","0","0","0","0","0","8","2.6","0.3","0.0%"
"200","Anthony Miller (BAL)","1","1","16","16.0","16","0","0","0","0","0","0","2","2.6","1.3","0.0%"
"201","Casey Washington (ATL)","1","2","14","14.0","14","0","0","0","0","0","0","2","2.4","1.2","0.0%"
"202","Javon Baker (PHI)","1","4","12","12.0","12","0","0","0","0","0","0","10","2.2","0.2","1.0%"
"203","Trent Taylor (SF)","1","1","11","11.0","11","0","0","0","0","0","0","2","2.1","1.1","0.0%"
"204","Kendric Pryor (FA)","1","1","9","9.0","9","0","0","0","0","0","0","2","1.9","1.0","0.0%"
"205","Brandon Johnson (FA)","1","1","9","9.0","9","0","0","0","0","0","0","3","1.9","0.6","1.0%"
"206","Ramel Keyton (FA)","1","3","7","7.0","7","0","0","0","0","0","0","3","1.7","0.6","0.0%"
"207","Collin Johnson (FA)","1","2","6","6.0","6","0","0","0","0","0","0","6","1.6","0.3","0.0%"
"208","John Ross (FA)","1","2","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","0.0%"
"209","Jaelon Darden (FA)","1","1","6","6.0","6","0","0","0","0","0","0","11","1.6","0.1","0.0%"
"210","Tyler Scott (IND)","1","1","5","5.0","5","0","0","0","0","0","0","11","1.5","0.1","1.7%"
"211","Robbie Chosen (SF)","1","4","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"212","Kameron Johnson (TB)","0","1","0","0","0","0","0","2","11","0","0","5","1.1","0.2","0.0%"
"213","Velus Jones Jr. (NO)","1","1","8","8.0","8","0","0","3","11","0","1","2","0.9","0.5","0.0%"
"214","Brycen Tremayne (CAR)","1","1","-2","-2.0","0","0","0","0","0","0","0","2","0.8","0.4","0.0%"
"215","Deonte Harty (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"216","Jalen Guyton (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"217","AJ Henning (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"218","Tom Kennedy (DET)","0","1","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.1%"
"219","Arian Smith (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"220","Gunner Olszewski (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","D.J. Montgomery (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"222","Emeka Egbuka (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","89.8%"
"223","Chris Tyree (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"224","KJ Hamler (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"225","Beaux Collins (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"226","Traeshon Holden (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"227","Ja'Corey Brooks (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"228","Justyn Ross (FA)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"229","Rondale Moore (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"230","Dez Fitzpatrick (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"231","Andre Baccellia (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"232","Seth Williams (LV)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"233","Trishton Jackson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"234","Lawrence Cager (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"235","JaQuae Jackson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"236","Jeshaun Jones (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"237","Jaylen Johnson (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"238","John Jiles (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"239","Luther Burden III (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33.6%"
"240","Elic Ayomanor (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.5%"
"241","Xavier Restrepo (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"242","Jalen Royals (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.6%"
"243","Qadir Ismail (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"244","Travis Hunter (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","93.4%"
"245","Dominic Lovett (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"246","Isaiah Neyor (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"247","Tory Horton (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.0%"
"248","Matthew Golden (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","89.5%"
"249","Joshua Cephus (JAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"250","Tahj Washington (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"251","Dayton Wade (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"252","Tejhaun Palmer (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"253","Roman Wilson (PIT)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","3.3%"
"254","Brenden Rice (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"255","Tre' Harris (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.8%"
"256","Jayden Higgins (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59.2%"
"257","Chandler Brayboy (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"258","Coleman Owen (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"259","Quentin Skinner (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"260","Jackson Meeks (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"261","Dontae Fleming (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"262","Ke'Shawn Williams (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"263","Tru Edwards (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"264","Jordan Moore (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"265","Junior Bergen (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"266","JP Richardson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"267","Stephen Gosnell (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"268","Courtney Jackson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"269","Luke Grimm (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"270","Brennan Presley (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"271","Kyle Williams (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.0%"
"272","Dalevon Campbell (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"273","Jeremiah Webb (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"274","Tyrone Broden (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"275","Myles Price (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"276","Jahdae Walker (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"277","Gage Larvadain (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"278","Ja'seem Reed (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"279","Darius Cooper (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5%"
"280","Jimmy Holiday (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"281","Jordan Watkins (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"282","Jaylin Noel (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.3%"
"283","TJ Moore (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"284","Theo Wease Jr. (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"285","Savion Williams (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"286","Tez Johnson (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"287","Tai Felton (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"288","Ricky White III (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"289","Pat Bryant (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.9%"
"290","Jack Bech (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.0%"
"291","Will Sheppard (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"292","Nick Nash (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"293","Dont'e Thornton Jr. (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15.6%"
"294","Jimmy Horn Jr. (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"295","Chimere Dike (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"296","Josh Kelly (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"297","Jaylin Lane (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"298","Traeshin Holden (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"299","Konata Mumpfield (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"300","Jacksin Meeks (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"301","Jamaal Pritchett (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"302","Isaac TeSlaa (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.0%"
"303","Garrett Greene (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"304","LaJohntay Wester (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"305","Efton Chism III (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9%"
"306","Jacoby Jones (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"307","A.T. Perry (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"308","Jalen Virgil (FA)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"309","Montrell Washington (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"310","Dareke Young (SEA)","0","1","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"311","Mitchell Tinsley (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"312","Isaiah Bond (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.4%"
"313","KeAndre Lambert-Smith (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"314","Brandon Smith (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"315","Avery Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","17","0.0","0.0","1.1%"
"316","Skyy Moore (SF)","0","3","0","0","0","0","0","0","0","0","0","6","0.0","0.0","1.9%"
"317","Xavier Weaver (ARI)","0","2","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"318","Justin Shorter (LV)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","1.9%"
"319","Michael Bandy (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"320","Erik Ezukanma (JAC)","0","2","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"321","Lucky Jackson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"322","Kazmeir Allen (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"323","Elijah Cooks (PHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"324","Jared Wayne (HOU)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"325","Tetairoa McMillan (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94.6%"
"326","Dylan Drummond (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"327","John Stephens Jr. (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"328","Shedrick Jackson (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"329","Zavier Scott (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"330","Jason Brownlee (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"331","Jalen Cropper (DAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"332","Dennis Houston (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"333","Kaden Davis (CLE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"334","Tyreik McAllister (FA)","0","0","0","0","0","0","0","2","11","0","0","2","0.0","0.0","1.0%"
"335","Irvin Charles (NYJ)","0","1","0","0","0","0","0","0","0","0","0","11","0.0","0.0","1.1%"
"336","Maurice Alexander (CHI)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.0%"
"337","Bryce Ford-Wheaton (NYG)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","1.1%"
"338","Jordan Matthews (FA)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"339","Patrick Edwards (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"340","Kenny McKinley (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"341","Nate Hughes (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"342","Mike Furrey (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"343","Marko Mitchell (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"344","Maurice Purify (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"345","Chris Henry (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"346","Bobby Wade (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"347","Demario Ballard (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"348","Rod Harper (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"349","Sam Giguere (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"350","Russell Gage Jr. (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"351","Braxton Berrios (HOU)","0","4","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.6%"
"352","Equanimeous St. Brown (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"353","Jamal Agnew (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"354","Zach Pascal (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"355","Justin Hardee Sr. (FA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"356","Cody Thompson (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"357","Hunter Renfrow (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"358","David Sills (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"359","Miles Boykin (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"360","Juwann Winfree (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"361","Quinton Bell (MIA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.6%"
"362","Keith Kirkwood (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"363","Malik Turner (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"364","Alex Erickson (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"365","Chris Moore (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"366","Laquon Treadwell (IND)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"367","Jermaine Jackson (FA)","0","0","0","0","0","0","0","1","-1","0","0","4","-0.1","0.0","0.0%"
"368","Steven Sims Jr. (FA)","0","0","0","0","0","0","0","1","0","0","1","9","-2.0","-0.2","0.0%"
"369","Kadarius Toney (FA)","0","1","0","0","0","0","0","2","-4","0","1","3","-2.4","-0.8","0.6%"
"370","Jha'Quan Jackson (FA)","1","3","8","8.0","8","0","0","1","-5","0","2","12","-2.7","-0.2","0.0%"
"371","Dee Williams (NYG)","0","0","0","0","0","0","0","0","0","0","3","13","-6.0","-0.5","1.1%"
""
""